name,price,brand,kv,i_a,v,p_w,m_kg
Turnigy Aerodrive SK3 - 4240-530KV Brushless Outrunner Motor,36.38,sk3,530.0,46.0,19.0,795.0,0.194
Turnigy RotoMax 1.60 Brushless Outrunner Motor,140.13,rotomax,231.0,80.0,37.0,2960.0,0.849
Turnigy Aerodrive SK3 - 2826-980kv Brushless Outrunner Motor,19.30,sk3,980.0,10.0,11.0,96.0,0.044
Turnigy SK3 90mm (6S-8S 3000w) Fandrive Brushless EDF Motor - 3968-1500KV,46.21,sk3,1500.0,110.0,30.0,3000.0,0.363
Turnigy Aerodrive SK3 - 2830-1020kv Brushless Outrunner Motor,20.37,sk3,1020.0,18.0,11.0,168.0,0.058
Turnigy Aerodrive SK3 3548-840kv Brushless Outrunner Motor ,44.06,sk3,840.0,50.0,16.0,750.0,0.167
CF 28-05 Brushless Outrunner 1600Kv,7.48,,1600.0,0.0,8.0,0.0,0.026
Turnigy Aerodrive SK3 3542-1000kv Brushless Outrunner Motor ,39.98,sk3,1000.0,50.0,16.0,616.0,0.134
Turnigy XK2435-4900KV Brushless Inrunner,18.45,turnigyxk,4900.0,18.0,12.0,216.0,0.055
Turnigy SK8 6374-149KV Sensored Brushless Motor (14P),97.63,sk8,149.0,80.0,45.0,3500.0,0.937
Turnigy TrackStar 9.5T Sensored Brushless Motor 4120KV (ROAR approved),34.86,trackstar,4120.0,47.0,8.0,350.0,0.171
Dr. Mad Thrust 70mm 11-Blade Alloy EDF 3900kv Motor - 1300watt (4S) Counter rotating,62.86,drmadthrust,3900.0,76.0,22.0,1300.0,0.19
Turnigy 2632 Brushless Motor 1000kv,18.48,turnigy,1000.0,13.0,11.0,0.0,0.051
Turnigy 2627 Brushless Outrunner 3800kv,15.74,turnigy,3800.0,20.0,13.0,260.0,0.038
Gemfan M2306L 2200kv Brushless Outrunner Motor (CCW),1.28,gemfan,2200.0,7.0,16.0,490.0,0.03
Brushless Inrunner Motor 2838 3600KV (1:18th 1:14th),13.07,,3600.0,43.0,11.1,600.0,0.095
C2230 Micro brushless Outrunner 1780kv (27g),13.84,,1780.0,15.0,14.0,98.0,0.027
Turnigy TrackStar Waterproof 1/8 Brushless Power System 2300KV/120A,102.05,trackstar,2300.0,140.0,16.0,1680.0,0.141
Turnigy Aerodrive SK3 3536-1050kv Brushless Outrunner Motor,34.46,sk3,1050.0,,16.0,,0.105
Turnigy Aerodrive SK3 3530-1150kv Brushless Outrunner Motor ,30.31,sk3,1150.0,33.0,12.0,339.0,0.071
ZTW Spider PRO Premium SP2206-2300KV Brushless Motor,14.40,,2300.0,20.0,17.0,200.0,0.033
Turnigy P2627L EDF Outrunner 4200kv for 55/64mm,10.25,turnigy,4200.0,22.7,13.0,330.0,0.053
Gemfan M1306L 3100kv Brushless Outrunner Motor (CCW),12.45,gemfan,,,,,0.01
Turnigy Aerodrive SK3 2830-1020kv Brushless Outrunner Motor ,21.24,sk3,1020.0,18.0,12.0,169.0,0.055
Turnigy Aerodrive SK3 2836-1500kv Brushless Outrunner Motor ,29.64,sk3,1500.0,35.0,12.0,405.0,0.076
Turnigy CA120 150kv Brushless Outrunner (100cc equiv),3.41,turnigy,150.0,0.0,70.0,0.0,2.73
